datetime,Q_in
2025-01-04 07:00:00,122.184
2025-01-04 07:10:00,120.168
2025-01-04 07:20:00,115.092
2025-01-04 07:30:00,125.20800000000001
2025-01-04 07:40:00,138.02400000000003
2025-01-04 07:50:00,127.22400000000002
2025-01-04 08:00:00,121.82400000000001
2025-01-04 08:10:00,128.232
2025-01-04 08:20:00,136.36800000000002
2025-01-04 08:30:00,137.70000000000002
2025-01-04 08:40:00,140.076
2025-01-04 08:50:00,143.1
2025-01-04 09:00:00,143.1
2025-01-04 09:10:00,160.668
2025-01-04 09:20:00,151.20000000000002
2025-01-04 09:30:00,164.70000000000002
2025-01-04 09:40:00,177.51600000000002
2025-01-04 09:50:00,173.484
2025-01-04 10:00:00,179.892
2025-01-04 10:10:00,192.384
2025-01-04 10:20:00,199.116
2025-01-04 10:30:00,200.12400000000002
2025-01-04 10:40:00,202.824
2025-01-04 10:50:00,195.768
2025-01-04 11:00:00,207.216
2025-01-04 11:10:00,207.576
2025-01-04 11:20:00,218.376
2025-01-04 11:30:00,211.96800000000002
2025-01-04 11:40:00,211.284
2025-01-04 11:50:00,211.608
2025-01-04 12:00:00,219.384
2025-01-04 12:10:00,222.40800000000002
2025-01-04 12:20:00,183.924
2025-01-04 12:30:00,232.884
2025-01-04 12:40:00,230.184
2025-01-04 12:50:00,210.6
2025-01-04 13:00:00,239.976
2025-01-04 13:10:00,228.168
2025-01-04 13:20:00,220.716
2025-01-04 13:30:00,213.984
2025-01-04 13:40:00,179.208
2025-01-04 13:50:00,185.616
2025-01-04 14:00:00,182.91600000000003
2025-01-04 14:10:00,177.51600000000002
2025-01-04 14:20:00,213.3
2025-01-04 14:30:00,218.376
2025-01-04 14:40:00,218.01600000000002
2025-01-04 14:50:00,216.684
2025-01-04 15:00:00,220.716
2025-01-04 15:10:00,229.176
2025-01-04 15:20:00,210.6
2025-01-04 15:30:00,217.008
2025-01-04 15:40:00,218.376
2025-01-04 15:50:00,203.508
2025-01-04 16:00:00,207.216
2025-01-04 16:10:00,203.508
2025-01-04 16:20:00,206.208
2025-01-04 16:30:00,212.616
2025-01-04 16:40:00,221.4
2025-01-04 16:50:00,224.784
2025-01-04 17:00:00,225.108
2025-01-04 17:10:00,219.384
2025-01-04 17:20:00,220.716
2025-01-04 17:30:00,224.784
2025-01-04 17:40:00,221.076
2025-01-04 17:50:00,226.116
2025-01-04 18:00:00,226.8
2025-01-04 18:10:00,218.01600000000002
